set,avg_error_saved,avg_pct_recovery,final_error_saved,final_pct_recovery
1,0.8877333073876486,87.31525374423771,1.0098682160868533,97.99545609671273
2,0.9009266129518032,83.09657439794742,1.0687317635844171,98.3717065866391
3,1.0658585830849987,91.67739785076851,1.163980797193235,98.49524497505075
4,0.9376154926184964,87.86817872752012,1.0482313546706774,98.47313537993291
5,1.238625318039868,86.49293793693312,1.4219119627388526,98.35417412388105
6,0.5662379470319674,84.71039278360401,0.6690642527405664,98.16640307982115
7,1.0656251375329706,82.38375301147833,1.298258190963589,98.84012659159167
8,0.960306953642769,87.92523460487551,1.0842256825333094,98.12295851440761
9,0.1311055278236837,79.40824472965303,0.15161246191881483,99.0503944300443
10,0.8650812938486447,85.1016477622011,0.9892719825876357,97.60663767933447
