policy,angle_bin,Q1_mild,Q2,Q3,Q4_severe
policy_brady_deg_recurrent,0.5-1.0,0.495323,0.414420,0.345123,0.360111
policy_brady_deg_recurrent,1.0-1.5,0.817069,0.718451,0.655726,0.601232
policy_brady_deg_recurrent,1.5-2.0,0.858857,0.741533,0.642210,0.581054
policy_brady_deg_recurrent,2.0-2.5,0.844901,0.716858,0.640619,0.598930
policy_deg_recurrent,0.5-1.0,0.471618,0.372863,0.199615,-0.723067
policy_deg_recurrent,1.0-1.5,0.719815,0.558222,0.497016,-0.665994
policy_deg_recurrent,1.5-2.0,0.792777,0.644505,0.543230,0.504946
policy_deg_recurrent,2.0-2.5,0.821312,0.701469,0.613569,0.589949
policy_brady_deg,0.5-1.0,0.497294,0.404929,0.276739,0.173252
policy_brady_deg,1.0-1.5,0.741467,0.605755,0.535549,0.550262
policy_brady_deg,1.5-2.0,0.814220,0.687528,0.603196,0.582353
policy_brady_deg,2.0-2.5,0.827892,0.680590,0.613031,0.602983
policy_deg,0.5-1.0,0.469649,0.402451,0.235967,0.158460
policy_deg,1.0-1.5,0.771094,0.655015,0.637239,0.618708
policy_deg,1.5-2.0,0.857523,0.751854,0.619750,0.576584
policy_deg,2.0-2.5,0.859606,0.726646,0.616548,0.590647
policy_brady_deg_recurrent_noisy,0.5-1.0,0.522807,0.442052,0.328234,0.224019
policy_brady_deg_recurrent_noisy,1.0-1.5,0.792328,0.738169,0.666919,0.611405
policy_brady_deg_recurrent_noisy,1.5-2.0,0.858668,0.761577,0.634270,0.601084
policy_brady_deg_recurrent_noisy,2.0-2.5,0.849615,0.723735,0.633780,0.595574
no_exo,0.5-1.0,0.464731,0.378887,0.206911,-0.696471
no_exo,1.0-1.5,0.722824,0.548266,0.513781,-0.640715
no_exo,1.5-2.0,0.751983,0.610757,0.572543,-0.578226
no_exo,2.0-2.5,0.734438,0.661573,0.630369,-0.516424
healthy_policy,0.5-1.0,1.000000,1.000000,1.000000,1.000000
healthy_policy,1.0-1.5,1.000000,1.000000,1.000000,1.000000
healthy_policy,1.5-2.0,1.000000,1.000000,1.000000,1.000000
healthy_policy,2.0-2.5,1.000000,1.000000,1.000000,1.000000
